DateTime,Time,Fault
17-10-2014 19:40,1413592832,FF
18-10-2014 21:10,1413684608,EF
18-10-2014 21:20,1413685248,EF
18-10-2014 21:29,1413685760,EF
19-10-2014 02:49,1413704960,EF
19-10-2014 02:49,1413704960,FF
19-10-2014 03:00,1413705600,EF
19-10-2014 03:00,1413705600,FF
19-10-2014 06:20,1413717632,EF
19-10-2014 06:20,1413717632,FF
19-10-2014 06:29,1413718144,EF
19-10-2014 06:29,1413718144,FF
19-10-2014 06:39,1413718784,EF
19-10-2014 06:50,1413719424,EF
19-10-2014 06:50,1413719424,FF
19-10-2014 07:01,1413720064,EF
19-10-2014 07:01,1413720064,FF
19-10-2014 09:19,1413728384,EF
19-10-2014 09:19,1413728384,FF
19-10-2014 09:30,1413729024,EF
19-10-2014 09:30,1413729024,FF
19-10-2014 10:19,1413731968,EF
19-10-2014 10:19,1413731968,FF
19-10-2014 10:30,1413732608,EF
19-10-2014 10:30,1413732608,FF
19-10-2014 13:50,1413744640,EF
19-10-2014 13:59,1413745152,EF
20-10-2014 19:40,1413852032,EF
20-10-2014 19:40,1413852032,FF
20-10-2014 19:49,1413852544,EF
20-10-2014 19:49,1413852544,FF
21-10-2014 04:40,1413884416,EF
21-10-2014 04:40,1413884416,FF
21-10-2014 04:50,1413885056,EF
21-10-2014 04:50,1413885056,FF
21-10-2014 04:59,1413885568,EF
21-10-2014 04:59,1413885568,FF
21-10-2014 05:10,1413886208,EF
21-10-2014 05:10,1413886208,FF
21-10-2014 05:40,1413888000,EF
21-10-2014 05:40,1413888000,FF
21-10-2014 05:50,1413888640,EF
21-10-2014 05:50,1413888640,FF
21-10-2014 09:00,1413900032,EF
21-10-2014 09:09,1413900544,EF
21-10-2014 09:38,1413902336,EF
21-10-2014 09:38,1413902336,FF
21-10-2014 09:49,1413902976,EF
21-10-2014 09:49,1413902976,FF
21-10-2014 10:30,1413905408,EF
21-10-2014 10:30,1413905408,FF
21-10-2014 10:40,1413906048,EF
21-10-2014 10:40,1413906048,FF
21-10-2014 12:29,1413912576,EF
21-10-2014 12:40,1413913216,EF
21-10-2014 13:10,1413915008,EF
21-10-2014 13:10,1413915008,FF
21-10-2014 13:20,1413915648,EF
21-10-2014 13:20,1413915648,FF
21-10-2014 14:20,1413919232,EF
21-10-2014 14:20,1413919232,FF
21-10-2014 14:29,1413919744,EF
21-10-2014 14:29,1413919744,FF
21-10-2014 15:50,1413924608,EF
21-10-2014 15:50,1413924608,FF
21-10-2014 16:00,1413925248,EF
21-10-2014 16:00,1413925248,FF
21-10-2014 16:09,1413925760,EF
21-10-2014 17:09,1413929344,EF
21-10-2014 17:09,1413929344,FF
21-10-2014 17:19,1413929984,EF
21-10-2014 17:19,1413929984,FF
26-10-2014 18:10,1414365056,GF
26-10-2014 18:19,1414365568,GF
26-10-2014 18:30,1414366208,GF
26-10-2014 18:40,1414366848,GF
26-10-2014 18:49,1414367360,GF
26-10-2014 19:00,1414368000,GF
26-10-2014 19:10,1414368640,GF
26-10-2014 19:19,1414369152,GF
27-10-2014 19:10,1414455040,EF
27-10-2014 19:10,1414455040,FF
27-10-2014 19:19,1414455552,EF
27-10-2014 19:19,1414455552,FF
27-10-2014 19:29,1414456192,EF
27-10-2014 19:59,1414457984,EF
27-10-2014 19:59,1414457984,FF
27-10-2014 20:10,1414458624,EF
27-10-2014 20:10,1414458624,FF
27-10-2014 21:29,1414463360,EF
27-10-2014 21:40,1414464000,EF
27-10-2014 22:09,1414465792,EF
27-10-2014 22:09,1414465792,FF
27-10-2014 22:20,1414466432,EF
27-10-2014 22:20,1414466432,FF
28-10-2014 01:49,1414478976,EF
28-10-2014 01:49,1414478976,FF
28-10-2014 02:00,1414479616,EF
28-10-2014 02:00,1414479616,FF
28-10-2014 03:49,1414486144,EF
28-10-2014 03:49,1414486144,FF
28-10-2014 03:59,1414486784,EF
28-10-2014 03:59,1414486784,FF
28-10-2014 05:40,1414492800,EF
28-10-2014 05:40,1414492800,FF
28-10-2014 05:50,1414493440,EF
28-10-2014 05:50,1414493440,FF
28-10-2014 06:20,1414495232,EF
28-10-2014 06:20,1414495232,FF
28-10-2014 06:29,1414495744,EF
28-10-2014 06:29,1414495744,FF
28-10-2014 08:20,1414502400,EF
28-10-2014 08:30,1414503040,EF
28-10-2014 08:39,1414503552,EF
31-10-2014 11:49,1414774144,EF
31-10-2014 11:59,1414774784,EF
01-11-2014 11:29,1414859392,EF
01-11-2014 11:29,1414859392,FF
01-11-2014 11:40,1414860032,EF
01-11-2014 11:40,1414860032,FF
01-11-2014 12:59,1414864768,EF
01-11-2014 12:59,1414864768,FF
01-11-2014 13:10,1414865408,EF
01-11-2014 13:10,1414865408,FF
01-11-2014 14:20,1414869632,EF
01-11-2014 14:29,1414870144,EF
01-11-2014 17:30,1414881024,EF
01-11-2014 17:30,1414881024,FF
01-11-2014 17:38,1414881536,EF
01-11-2014 17:38,1414881536,FF
01-11-2014 17:49,1414882176,EF
01-11-2014 17:49,1414882176,FF
06-11-2014 03:29,1415266176,EF
06-11-2014 03:29,1415266176,FF
06-11-2014 03:40,1415266816,EF
06-11-2014 03:40,1415266816,FF
06-11-2014 03:50,1415267456,EF
06-11-2014 03:50,1415267456,FF
06-11-2014 03:59,1415267968,EF
06-11-2014 03:59,1415267968,FF
10-11-2014 10:29,1415636992,EF
10-11-2014 10:29,1415636992,FF
10-11-2014 10:40,1415637632,EF
10-11-2014 10:40,1415637632,FF
10-11-2014 11:40,1415641216,EF
10-11-2014 11:40,1415641216,FF
10-11-2014 11:50,1415641856,EF
10-11-2014 11:50,1415641856,FF
12-11-2014 06:09,1415794176,EF
12-11-2014 06:20,1415794816,EF
12-11-2014 21:20,1415848832,EF
12-11-2014 21:29,1415849344,EF
12-11-2014 23:30,1415856640,EF
12-11-2014 23:39,1415857152,EF
12-11-2014 23:49,1415857792,EF
17-11-2014 05:39,1416224384,EF
17-11-2014 05:50,1416225024,EF
17-11-2014 05:58,1416225536,EF
18-11-2014 12:40,1416336000,EF
18-11-2014 12:50,1416336640,EF
18-11-2014 13:09,1416337792,EF
18-11-2014 13:20,1416338432,EF
18-11-2014 14:09,1416341376,EF
18-11-2014 14:20,1416342016,EF
18-11-2014 14:30,1416342656,EF
18-11-2014 14:39,1416343168,EF
18-11-2014 14:50,1416343808,EF
18-11-2014 17:00,1416351616,EF
18-11-2014 17:10,1416352256,EF
18-11-2014 18:40,1416357632,EF
18-11-2014 18:49,1416358144,EF
18-11-2014 18:59,1416358784,EF
18-11-2014 19:10,1416359424,EF
18-11-2014 19:29,1416360576,EF
18-11-2014 19:40,1416361216,EF
20-11-2014 23:00,1416546048,EF
20-11-2014 23:09,1416546560,EF
20-11-2014 23:49,1416548992,EF
21-11-2014 00:00,1416549632,EF
21-11-2014 00:09,1416550144,EF
21-11-2014 00:19,1416550784,EF
21-11-2014 02:10,1416557440,EF
21-11-2014 02:19,1416557952,EF
21-11-2014 04:10,1416564608,EF
21-11-2014 04:20,1416565248,EF
27-11-2014 02:19,1417076352,FF
27-11-2014 02:29,1417076992,FF
27-11-2014 03:21,1417080064,FF
27-11-2014 03:29,1417080576,FF
27-11-2014 03:50,1417081856,FF
27-11-2014 03:59,1417082368,FF
27-11-2014 04:10,1417083008,FF
27-11-2014 04:20,1417083648,FF
27-11-2014 04:29,1417084160,FF
27-11-2014 04:40,1417084800,FF
27-11-2014 07:39,1417095552,EF
27-11-2014 07:49,1417096192,EF
27-11-2014 08:19,1417097984,EF
27-11-2014 08:30,1417098624,EF
27-11-2014 12:20,1417112448,EF
27-11-2014 12:29,1417112960,EF
27-11-2014 12:59,1417114752,EF
27-11-2014 13:09,1417115392,EF
27-11-2014 13:20,1417116032,EF
27-11-2014 13:29,1417116544,EF
28-11-2014 16:19,1417213184,EF
28-11-2014 16:30,1417213824,EF
05-12-2014 00:30,1417761024,FF
05-12-2014 00:38,1417761536,FF
05-12-2014 00:49,1417762176,FF
05-12-2014 01:10,1417763456,FF
05-12-2014 01:19,1417763968,FF
05-12-2014 01:30,1417764608,FF
05-12-2014 01:40,1417765248,FF
05-12-2014 01:49,1417765760,FF
05-12-2014 02:00,1417766400,FF
05-12-2014 02:10,1417767040,FF
05-12-2014 02:29,1417768192,FF
05-12-2014 02:40,1417768832,FF
05-12-2014 02:49,1417769344,FF
05-12-2014 03:29,1417771776,FF
05-12-2014 03:40,1417772416,FF
05-12-2014 03:59,1417773568,FF
05-12-2014 04:10,1417774208,FF
05-12-2014 11:29,1417800576,FF
05-12-2014 11:40,1417801216,FF
05-12-2014 11:50,1417801856,FF
05-12-2014 11:59,1417802368,FF
05-12-2014 12:10,1417803008,FF
08-12-2014 02:00,1418025600,FF
08-12-2014 02:10,1418026240,FF
08-12-2014 02:49,1418028544,FF
08-12-2014 02:59,1418029184,FF
08-12-2014 03:10,1418029824,FF
08-12-2014 03:40,1418031616,FF
08-12-2014 03:50,1418032256,FF
